track_name,artists,track_genre
!I'll Be Back!,Rilès,french
"""A"" You're Adorable",Brian Hyland,rockabilly
"""C"" IS FOR COOKIE",Little Apple Band,kids
"""C"" is for Cookie",Little Apple Band,kids
"""Christe",Traditional,sleep
"""Contemplate This on the Tree of Woe.""",Dillinger Four,power-pop
"""DEVILS NEVER CRY""",Capcom Sound Team,anime
"""Don Carlos"" Roderigo'S Death Aria",Nikolay Kopylov,romance
"""Eugene Onegin"" Ariozo Of Onegin",Nikolay Kopylov,romance
"""Farewell"" Jingle Bells",Dave Brubeck,piano
"""Gladiator""",Hans Zimmer,german
"""Hark! The Herald Angels Sing""",Felix Mendelssohn,classical
"""Hark! The Herald Angels Sing""",Felix Mendelssohn,german
"""He Was Tall""",Laura Osnes,show-tunes
"""In My Own Little Corner""",Laura Osnes,show-tunes
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1",London Symphony Orchestra,british
"""It Was Great to Have You Home...""",Michael Cerveris,show-tunes
"""Lamba Do Ska""",Inspector,ska
"""Loneliness Of Evening""",Santino Fontana,show-tunes
"""Read a Book...""",Michael Cerveris,show-tunes
"""Shortly After We Were Married...""",Judy Kuhn,show-tunes
"""Something In the Rain""",Rachael Yamagata,acoustic
"""Was He Slow?""",Kid Koala,trip-hop
"""Why is a raven like a writing desk?""",arai tasuku,idm
# 1,Slank,blues
#1,Aphex Twin,ambient
#3,Aphex Twin,ambient
#3,Aphex Twin,electronic
#ColdBlooded,Imperial,hardstyle
#DareDevil,Imperial,hardstyle
#HABIBATI,Poshlaya Molly,electronic
#ImSippinTeaInYoHood,XXXTENTACION,emo
#Jetsgo,Curren$y,alternative
#NAME?,#NAME?,j-idol
#NAME?,#NAME?,j-pop
#NAME?,#NAME?,j-rock
#NAME?,Marc Anthony,salsa
#NAME?,j-hope,k-pop
#Natural,Paty Cantú,latin
#PROUDCATOWNERREMIX,XXXTENTACION,emo
#eeeaa,Endank Soekamti,punk-rock
#おふしょるにっと,≠ME,j-idol
#おふしょるにっと,≠ME,j-rock
#前に進む唄,kamiyado,j-idol
$$$,XXXTENTACION,emo
$10,Good Morning,garage
$100,Jimmy Lite Hands,study
$160 Million Chinese Man,David Holmes,trip-hop
$165 Million + Interest,David Holmes,trip-hop
$50 Dollars and a Flask of Crown,Bleu Edmondson,country
$Ave Money,Pj Panda,kids
$ave Dat Money,Kyle Edwards,club
$ave Dat Money,Lil Dicky,comedy
$hake It Down,Jay Daniel,detroit-techno
$tars and I feel alone,Vluestar,chill
$tars and I feel alone,Vluestar,sad
'49 Mercury Blues,The Brian Setzer Orchestra,rockabilly
'74,The Connells,j-pop
'74,The Connells,j-rock
'74: No,The Magnetic Fields,club
'98 To Piano,Forze DJ Team,happy
'98 To Piano [Mix Cut],Forze DJ Team,happy
'98 To Piano [Mix Cut],Forze DJ Team,hardcore
'Hop Stomp',When Chai Met Toast,folk
'Neath A Cold Gray Tomb Of Stone,Hank Williams,honky-tonk
'O Sole Mio,Luciano Pavarotti,opera
'O Surdato 'nnamorato,Luciano Pavarotti,opera
'O sole mio,Mario del Monaco,opera
'Round Midnight,Baden Powell,guitar
'Round Midnight,Thelonious Monk,piano
'The Anatomy of a Nervous Breakdown': On the Sideline,ReVamp,goth
'Til Him,Nathan Lane,disney
'Til Him,Nathan Lane,show-tunes
'Til You Can't,Cody Johnson,country
'Tis So Sweet,Jim Brickman,new-age
'Zat You,Louis Armstrong,jazz
'til The End Of The World Rolls 'round,Old ,bluegrass
*〜アスタリスク〜,ORANGE RANGE,j-pop
*〜アスタリスク〜,ORANGE RANGE,j-rock
+,Aitana,spanish
...,Crows in the Rain,iranian
... And By Best I Mean Worst,Ed Gein,grindcore
"... And Then The Liver Screamed ""HELP!""",Chiodos,metalcore
... and We Thought That Nation,Mad Caddies,ska
...And She Never Returned,CKY,industrial
...And The World Will Cease To Be,Amon Amarth,death-metal
...Baby One More Time,The Baseballs,rockabilly
...Exclusively,Tiana Major9,chill
...Not Forever,Tsunami Bomb,power-pop
...This Town...,Elvis Costello,power-pop
...and He Wandered off to Nowhere,Trivax,iranian
...aynı yer,Birileri,alt-rock
...aynı yer,Birileri,turkish
0,A.CHAL,soul
0,arai tasuku,idm
0 to 100,Sidhu Moose Wala,hip-hop
0 to 100,Sidhu Moose Wala,pop
0.03,ØZI,mandopop
0.6,Lujipeka,french
006 A1,ONYVAA,detroit-techno
006 B1,ONYVAA,detroit-techno
006 B2,ONYVAA,detroit-techno
007 A1,ONYVAA,detroit-techno
008 A1,ONYVAA,detroit-techno
008 B1,ONYVAA,detroit-techno
00:00,BTS,k-pop
01. Moalagh,Asef Akbari,iranian
01000001 01011010 01010010 01000001 00001010,DEHA INC.,metal
03',Sainte,chill
03h53,Casseurs Flowters,french
04:22,Ozuna,latin
04:22,Ozuna,latino
04:22,Ozuna,reggae
04:22,Ozuna,reggaeton
08:15,Yonca Evcimik,turkish
0X1=LOVESONG,TOMORROW X TOGETHER,k-pop
1,Akina Nakamori,j-idol
1,Akina Nakamori,techno
1,Brian Eno,ambient
1,Cooltime Kids,kids
1,Little Apple Band,kids
1,MY FIRST STORY,hardcore
1,MY FIRST STORY,j-rock
1,Mogul Music Inc.,children
1,Our Last Night,metalcore
1,Phil Wickham,world-music
1,Plain White T's,punk
1,Plain White T's,punk-rock
1,Sofía Reyes,dance
1,Sofía Reyes,latin
1,Sofía Reyes,pop
1,Top of the Bus,kids
1 2 3,That Girl Lay Lay,kids
1 2 3 Detente,Roberto Jordan,rock-n-roll
1 BuduChop,Kraff Gad,dancehall
1 BuduChop,Kraff Gad,j-dance
1 Day 2 Nights,HRVY,house
1 De Novembro,Moonspell,black-metal
1 Finger in the Air,DJ LILMAN,club
1 For The Muchachos,DJ Sneak,chicago-house
1 Gabber Family,Rob Gee,happy
1 Law,Chronic Law,dancehall
1 Law,Chronic Law,j-dance
